U+2A7C5	𪟅	unwj
U+2A7C6	𪟆	gcej
U+2A7C7	𪟇	rwjh
U+2A7C8	𪟈	ftjj
U+2A7C9	𪟉	dufj
U+2A7CA	𪟊	degv
U+2A7CB	𪟋	akfj
U+2A7CC	𪟌	fkuj
U+2A7CD	𪟍	uejh
U+2A7CE	𪟎	jtyj
U+2A7CF	𪟏	tguj
U+2A7D0	𪟐	wveh
U+2A7D1	𪟑	yqkv
U+2A7D2	𪟒	yttj
U+2A7D3	𪟓	vbjx
U+2A7D4	𪟔	lwwj
U+2A7D5	𪟕	tadj
U+2A7D6	𪟖	vhgj
U+2A7D7	𪟗	eksj
U+2A7D8	𪟘	rget
U+2A7D9	𪟙	vcet
U+2A7DA	𪟚	qket
U+2A7DB	𪟛	ivye
U+2A7DC	𪟜	iite
U+2A7DD	𪟝	gmet
U+2A7DE	𪟞	left
U+2A7DF	𪟟	qlqe
U+2A7E0	𪟠	ujet
U+2A7E1	𪟡	lesk
U+2A7E2	𪟢	wgwe
U+2A7E3	𪟣	kkme
U+2A7E4	𪟤	gale
U+2A7E5	𪟥	agae
U+2A7E6	𪟦	lewy
U+2A7E7	𪟧	lele
U+2A7E8	𪟨	nxv
U+2A7E9	𪟩	xgdu
U+2A7EA	𪟪	uxdh
U+2A7EB	𪟫	xxrg
U+2A7EC	𪟬	aed
U+2A7ED	𪟭	aanh
U+2A7EE	𪟮	arnr
U+2A7EF	𪟯	ajfd
U+2A7F0	𪟰	awtk
U+2A7F1	𪟱	aosd
U+2A7F2	𪟲	aujm
U+2A7F3	𪟳	tfqh
U+2A7F4	𪟴	dftn
U+2A7F5	𪟵	fjfy
U+2A7F6	𪟶	ugik
U+2A7F7	𪟷	hjfg
U+2A7F8	𪟸	ugyy
U+2A7F9	𪟹	fpxc
U+2A7FA	𪟺	fjfj
U+2A7FB	𪟻	wywf
U+2A7FC	𪟼	ywww
U+2A7FD	𪟽	hbj
U+2A7FE	𪟾	fihi
U+2A7FF	𪟿	hjfh
U+2A800	𪠀	hpgf
U+2A801	𪠁	wgkb
U+2A802	𪠂	cvcb
U+2A803	𪠃	dcgd
