2B820	𫠠	agn
2B821	𫠡	gwhj
2B822	𫠢	hgsj
2B823	𫠣	anwi
2B824	𫠤	gqb
2B825	𫠥	gmwn
2B826	𫠦	ghth
2B827	𫠧	tfgh
2B828	𫠨	wnng
2B829	𫠩	gxxu
2B82A	𫠪	nywh
2B82B	𫠫	gifq
2B82C	𫠬	gikh
2B82D	𫠭	gigi
2B82E	𫠮	gcfh
2B82F	𫠯	gagh
2B830	𫠰	ghtt
2B831	𫠱	gjgh
2B832	𫠲	gima
2B833	𫠳	ghwa
2B834	𫠴	rgwc
2B835	𫠵	dhmf
2B836	𫠶	gihe
2B837	𫠷	hgwh
2B838	𫠸	hgie
2B839	𫠹	hgcx
2B83A	𫠺	hgvn
2B83B	𫠻	giwy
2B83C	𫠼	hgrh
2B83D	𫠽	hgne
2B83E	𫠾	gkhm
2B83F	𫠿	hgwu
2B840	𫡀	uogj
2B841	𫡁	rgvg
2B842	𫡂	rgvg
2B843	𫡃	hghk
2B844	𫡄	ehj
2B845	𫡅	nhnh
2B846	𫡆	vhvd
2B847	𫡇	wvkh
2B848	𫡈	hfuh
2B849	𫡉	pbkh
2B84A	𫡊	hfuh
2B84B	𫡋	fjfh
2B84C	𫡌	kkhn
2B84D	𫡍	tdwh
2B84E	𫡎	dddh
2B84F	𫡏	tte
2B850	𫡐	eqhh
2B851	𫡑	wwwi
2B852	𫡒	tmfd
2B853	𫡓	qhtu
2B854	𫡔	thgn
2B855	𫡕	tfiy
2B856	𫡖	tfnh
2B857	𫡗	tfhh
2B858	𫡘	tfnw
2B859	𫡙	tfug
2B85A	𫡚	wnnf
2B85B	𫡛	gxwp
2B85C	𫡜	wnnt
2B85D	𫡝	ejgh
2B85E	𫡞	wnnn
2B85F	𫡟	rlgn
2B860	𫡠	qylm
2B861	𫡡	tdke
2B862	𫡢	nfd
2B863	𫡣	nty
2B864	𫡤	vvvb
2B865	𫡥	nwgk
2B866	𫡦	wevn
2B867	𫡧	ntfc
2B868	𫡨	nfiy
2B869	𫡩	bbbb
2B86A	𫡪	afsn
2B86B	𫡫	nfmf
2B86C	𫡬	vykw
2B86D	𫡭	fjfn
2B86E	𫡮	onyp
2B86F	𫡯	fjen
2B870	𫡰	vdjf
2B871	𫡱	ccff
2B872	𫡲	gghy
2B873	𫡳	fjnh
2B874	𫡴	gyhg
2B875	𫡵	gfmf
2B876	𫡶	fcan
2B877	𫡷	gfgj
2B878	𫡸	flga
2B879	𫡹	gwyg
2B87A	𫡺	yfbj
