U+31424	𱐤	agaj
U+31425	𱐥	swwj
U+31426	𱐦	ossj
U+31427	𱐧	wgkk
U+31428	𱐨	uejk
U+31429	𱐩	ter
U+3142A	𱐪	uee
U+3142B	𱐫	edg
U+3142C	𱐬	anet
U+3142D	𱐭	aner
U+3142E	𱐮	ehet
U+3142F	𱐯	epxn
U+31430	𱐰	edqn
U+31431	𱐱	fhne
U+31432	𱐲	qvhe
U+31433	𱐳	pjhe
U+31434	𱐴	ekde
U+31435	𱐵	fffe
U+31436	𱐶	elss
U+31437	𱐷	dxye
U+31438	𱐸	qnwh
U+31439	𱐹	qrwc
U+3143A	𱐺	qrfh
U+3143B	𱐻	qnth
U+3143C	𱐼	qrle
U+3143D	𱐽	gmay
U+3143E	𱐾	coqr
U+3143F	𱐿	qrec
U+31440	𱑀	qrfm
U+31441	𱑁	qtgo
U+31442	𱑂	qrfm
U+31443	𱑃	qnwj
U+31444	𱑄	xvmh
U+31445	𱑅	xtds
U+31446	𱑆	agmd
U+31447	𱑇	agiq
U+31448	𱑈	lftr
U+31449	𱑉	aujm
U+3144A	𱑊	auwb
U+3144B	𱑋	aiwk
U+3144C	𱑌	aadn
U+3144D	𱑍	akkk
U+3144E	𱑎	yofj
U+3144F	𱑏	jgwg
U+31450	𱑐	gewp
U+31451	𱑑	ntfd
U+31452	𱑒	tfqj
U+31453	𱑓	djaf
U+31454	𱑔	nkuf
U+31455	𱑕	ajmp
U+31456	𱑖	hphn
U+31457	𱑗	kmhy
U+31458	𱑘	aybh
U+31459	𱑙	bjqn
U+3145A	𱑚	qytj
U+3145B	𱑛	nhdy
U+3145C	𱑜	dfci
U+3145D	𱑝	dsd
U+3145E	𱑞	dgkh
U+3145F	𱑟	dsjg
U+31460	𱑠	dkth
U+31461	𱑡	drib
U+31462	𱑢	cnb
U+31463	𱑣	fcuh
U+31464	𱑤	fchg
U+31465	𱑥	mfcy
U+31466	𱑦	fcja
U+31467	𱑧	citk
U+31468	𱑨	cfcd
U+31469	𱑩	fckw
U+3146A	𱑪	fcyf
U+3146B	𱑫	fcpk
U+3146C	𱑬	fctq
U+3146D	𱑭	fcvf
U+3146E	𱑮	pugc
U+3146F	𱑯	cccy
U+31470	𱑰	fcfk
U+31471	𱑱	caf
U+31472	𱑲	egcu
U+31473	𱑳	cygf
U+31474	𱑴	wnnc
U+31475	𱑵	cvkf
U+31476	𱑶	ccby
U+31477	𱑷	wgsc
U+31478	𱑸	imkc
U+31479	𱑹	qaqc
U+3147A	𱑺	oocu
U+3147B	𱑻	rckk
U+3147C	𱑼	jyrc
U+3147D	𱑽	thlc
U+3147E	𱑾	ipic
U+3147F	𱑿	kbn
U+31480	𱒀	kgqt
U+31481	𱒁	kfnn
U+31482	𱒂	knrt
U+31483	𱒃	kiu
U+31484	𱒄	knn
U+31485	𱒅	kbhj
U+31486	𱒆	kgdy
U+31487	𱒇	khbh
U+31488	𱒈	kjg
U+31489	𱒉	kmnn
U+3148A	𱒊	kwfg
U+3148B	𱒋	rrkf
U+3148C	𱒌	kqbh
U+3148D	𱒍	rdf
U+3148E	𱒎	kccy
U+3148F	𱒏	ankf
U+31490	𱒐	kdxy
U+31491	𱒑	gmwk
U+31492	𱒒	khf
U+31493	𱒓	kish
U+31494	𱒔	kdfy
U+31495	𱒕	dhkc
U+31496	𱒖	kshy
U+31497	𱒗	kawy
U+31498	𱒘	kgsh
U+31499	𱒙	kdfh
U+3149A	𱒚	kgkr
U+3149B	𱒛	kkyn
U+3149C	𱒜	kidy
U+3149D	𱒝	ktet
U+3149E	𱒞	krsy
U+3149F	𱒟	kwqb
U+314A0	𱒠	keet
U+314A1	𱒡	kumh
U+314A2	𱒢	yokf
U+314A3	𱒣	kyet
U+314A4	𱒤	kvqy
U+314A5	𱒥	kvkg
U+314A6	𱒦	kdtf
U+314A7	𱒧	krbc
U+314A8	𱒨	katd
U+314A9	𱒩	kset
U+314AA	𱒪	kdah
U+314AB	𱒫	krmw
U+314AC	𱒬	krwu
U+314AD	𱒭	gosk
U+314AE	𱒮	fick
U+314AF	𱒯	khmg
U+314B0	𱒰	kafy
U+314B1	𱒱	wgsk
U+314B2	𱒲	kwmg
U+314B3	𱒳	kqtg
U+314B4	𱒴	kwdg
U+314B5	𱒵	ktwc
U+314B6	𱒶	kuny
U+314B7	𱒷	ygkx
U+314B8	𱒸	kuat
U+314B9	𱒹	kiby
U+314BA	𱒺	kihg
U+314BB	𱒻	kxty
U+314BC	𱒼	kblg
U+314BD	𱒽	ksdh
U+314BE	𱒾	ksoy
U+314BF	𱒿	ksqa
U+314C0	𱓀	kdlg
U+314C1	𱓁	kaew
U+314C2	𱓂	kkks
U+314C3	𱓃	lwgk
U+314C4	𱓄	kawf
U+314C5	𱓅	ktfx
U+314C6	𱓆	krpg
U+314C7	𱓇	kegn
U+314C8	𱓈	ketf
U+314C9	𱓉	kqdj
U+314CA	𱓊	kwff
U+314CB	𱓋	kwaw
U+314CC	𱓌	krwp
U+314CD	𱓍	kqae
U+314CE	𱓎	rkuk
U+314CF	𱓏	kpuv
U+314D0	𱓐	kpud
U+314D1	𱓑	puvk
U+314D2	𱓒	kovw
U+314D3	𱓓	knpy
U+314D4	𱓔	kxfm
U+314D5	𱓕	kvcx
U+314D6	𱓖	ksyh
U+314D7	𱓗	kdmf
U+314D8	𱓘	kdcc
U+314D9	𱓙	krff
U+314DA	𱓚	kkkg
U+314DB	𱓛	kjog
U+314DC	𱓜	katu
U+314DD	𱓝	kkdm
U+314DE	𱓞	kwyg
U+314DF	𱓟	keug
U+314E0	𱓠	kwkh
U+314E1	𱓡	krhb
U+314E2	𱓢	ketg
U+314E3	𱓣	kudb
U+314E4	𱓤	kyuq
U+314E5	𱓥	kuud
U+314E6	𱓦	kiwk
U+314E7	𱓧	kufj
U+314E8	𱓨	kbbb
U+314E9	𱓩	kwgd
U+314EA	𱓪	kgne
U+314EB	𱓫	ksug
U+314EC	𱓬	kdep
U+314ED	𱓭	ksdn
U+314EE	𱓮	kdth
U+314EF	𱓯	ksyw
U+314F0	𱓰	krvo
U+314F1	𱓱	dpuv
U+314F2	𱓲	kaps
U+314F3	𱓳	klgh
U+314F4	𱓴	kaaw
U+314F5	𱓵	kqbh
U+314F6	𱓶	kwtn
U+314F7	𱓷	ktnt
U+314F8	𱓸	kqsh
U+314F9	𱓹	kwjs
U+314FA	𱓺	kwdk
U+314FB	𱓻	kwnh
U+314FC	𱓼	kqfh
U+314FD	𱓽	kyon
U+314FE	𱓾	kugi
U+314FF	𱓿	kifb
U+31500	𱔀	kotj
U+31501	𱔁	kntx
U+31502	𱔂	kywj
U+31503	𱔃	kvut
U+31504	𱔄	krwk
U+31505	𱔅	krdn
U+31506	𱔆	kkpk
U+31507	𱔇	kjgy
U+31508	𱔈	kkga
U+31509	𱔉	khjp
U+3150A	𱔊	kjcm
U+3150B	𱔋	wgkd
U+3150C	𱔌	ktdy
U+3150D	𱔍	krqq
U+3150E	𱔎	kwle
U+3150F	𱔏	ktvq
U+31510	𱔐	ynkk
U+31511	𱔑	knce
U+31512	𱔒	kywc
U+31513	𱔓	kpdk
U+31514	𱔔	kxfm
U+31515	𱔕	kxlg
U+31516	𱔖	ckfk
U+31517	𱔗	kgqe
U+31518	𱔘	ksxi
U+31519	𱔙	kfix
U+3151A	𱔚	kaqo
U+3151B	𱔛	igqk
U+3151C	𱔜	kkkb
U+3151D	𱔝	kjwk
U+3151E	𱔞	kkae
U+3151F	𱔟	keue
U+31520	𱔠	kqke
U+31521	𱔡	ktfs
U+31522	𱔢	kqtj
U+31523	𱔣	kpdj
U+31524	𱔤	kpwh
U+31525	𱔥	kusd
