U+2D1D2	𭇒
U+2D1F4	𭇴
U+2D22E	𭈮
U+2D3DC	𭏜
U+2D4A8	𭒨
U+2D4DE	𭓞
U+2D705	𭜅
U+2DA09	𭨉
U+2DA82	𭪂
U+2DCBB	𭲻
U+2DD99	𭶙
U+2DEB7	𭺷
U+2E160	𮅠
U+2E19E	𮆞
U+2E2A6	𮊦
U+2E325	𮌥
U+2E420	𮐠
U+2E840	𮡀
U+2E886	𮢆
U+2EAF8	𮫸
U+2EB12	𮬒
U+2F821	剆
U+2F8DB	杞
U+2F98F	芑
U+2F9AC	蕤
