U+300D6	𰃖	wfjj
U+300D7	𰃗	wfef
U+300D8	𰃘	widu
U+300D9	𰃙	rgkw
U+300DA	𰃚	wlf
U+300DB	𰃛	gkuw
U+300DC	𰃜	wans
U+300DD	𰃝	ugny
U+300DE	𰃞	tywu
U+300DF	𰃟	cwi
U+300E0	𰃠	wcmw
U+300E1	𰃡	kejw
U+300E2	𰃢	wgnj
U+300E3	𰃣	ywwk
U+300E4	𰃤	udnf
U+300E5	𰃥	ywsv
U+300E6	𰃦	tmv
U+300E7	𰃧	mtfd
U+300E8	𰃨	muci
U+300E9	𰃩	majd
U+300EA	𰃪	mvgh
U+300EB	𰃫	pdkm
U+300EC	𰃬	amhn
U+300ED	𰃭	mnww
U+300EE	𰃮	ipb
U+300EF	𰃯	pgwf
U+300F0	𰃰	pmf
U+300F1	𰃱	pvlf
U+300F2	𰃲	piss
U+300F3	𰃳	pujm
U+300F4	𰃴	pujm
U+300F5	𰃵	ufh
U+300F6	𰃶	uwry
U+300F7	𰃷	uwbn
U+300F8	𰃸	urng
U+300F9	𰃹	uug
U+300FA	𰃺	uhcy
U+300FB	𰃻	uxxf
U+300FC	𰃼	ugxw
U+300FD	𰃽	uqjg
U+300FE	𰃾	uyve
U+300FF	𰃿	ufnd
U+30100	𰄀	urug
U+30101	𰄁	ucde
U+30102	𰄂	ufky
U+30103	𰄃	udjf
U+30104	𰄄	uuej
U+30105	𰄅	ufpi
U+30106	𰄆	uipq
U+30107	𰄇	uwyx
U+30108	𰄈	ufvg
U+30109	𰄉	ukhh
U+3010A	𰄊	unrg
U+3010B	𰄋	ukhi
U+3010C	𰄌	ueaj
U+3010D	𰄍	ufup
U+3010E	𰄎	ueve
U+3010F	𰄏	uqgj
U+30110	𰄐	wwga
U+30111	𰄑	whng
U+30112	𰄒	hnmg
U+30113	𰄓	hghu
U+30114	𰄔	bmbm
U+30115	𰄕	bmdb
U+30116	𰄖	qtjg
U+30117	𰄗	hghn
U+30118	𰄘	bmyb
U+30119	𰄙	wjh
U+3011A	𰄚	ngjh
U+3011B	𰄛	vqgg
